id,name,username
11247222,Timothy Sykes,timothysykes
1536623865602134016,Gossamer,Gossamer_world
1450805517186519044,Jack Lu,0xLeoInRio
188369814,Jim Bianco biancoresearch.eth,biancoresearch
467535591,Bearica Wall 🇧🇸,ercwl
887851445982068737,Vance Spencer,pythianism
2529971,cdixon.eth,cdixon
710463119886262272,Chris Burniske,cburniske
2259434528,Cobie,cobie
983993370048630785,Arthur Hayes,CryptoHayes
566534886,Hasu⚡️🤖,hasufl
1110877798820777986,SBF,SBF_FTX
38271276,Matt Taibbi,mtaibbi
3369243892,Farokh,farokh
961637747512389632,j1mmy.eth,j1mmyeth
1358144162567057409,Tony Spark,TonySparkOG
1477008119926599682,11 Captain's Club,11CaptainsClub
26480327,Brian Rose,BrianBRose
817817720221794305,Richard Heart,RichardHeartWin
57062178,PHIL HEATH,PHILHEATH
1351166580483358721,Realms of Ethernity,realmsofeth
36869938,Colin Jordan 🐶,colinjordan
939950797562855425,Pawtocol,pawtocol
18379614,Dave Rubin,RubinReport
17653553,Ben Mezrich,benmezrich
2581341073,Bobby Shmurda,Shmurda
863108312883240962,Praying Hands Club.eth,prayinghandclub
34914032,Dimitri Vegas,dimitrivegas
178610318,Jon Youshaei,Youshaei
57097104,Matthew McConaughey,McConaughey
189302544,Laraghraoui.eth,LaraGhraoui
310965225,rich (-448.eth),NoKapRich
305830702,Coopahtroopa 🔥_🔥,Cooopahtroopa
1311393885806100481,gmoney.eth,gmoneyNFT
1214636688393129984,The Greats by Wolfgang Beltracchi,TheGreatsArt
1435310036356669442,invadersnft,invadersnft
1420034701553717249,Lazy Lions 🦁👑,LazyLionsNFT
107506412,Nicole Behnam,NicoleBehnam
1388487332093997057,6529,punk6529
171572882,Robert Graham,RobertGraham24
168640215,Jake Udell | Founder of Metalink 👾⚡️,jakeudell
7184612,"Mike Dudas (⛳️,🏆)",mdudas
23125257,George Soros,georgesoros
62603893,Ray Dalio,RayDalio
820065903945588736,Steven Cohen,StevenACohen2
24222556,Tyler Winklevoss,tyler
295218901,vitalik.eth,VitalikButerin
7025662,Dr. Phil,DrPhil
52480432,Van Tharp Institute (VTI),VanTharpInst
1356434353623093249,greg,greg16676935420
